"ticker","company_name","asof_date","est_window_start","n_obs","spot_price","log_return_mean","log_return_std","vol_annual_realized","vol_annual_downside","vol_annual_20d","skewness","kurtosis","max_drawdown","return_annual","avg_daily_volume_20d","normality_n","normality_pvalue","normality_log10_pvalue","outlier_fraction","gbm_mu_annual","gbm_sigma_annual","gbm_mu_se","gbm_sigma_se","gbm_mu_ci95_low","gbm_mu_ci95_high","gbm_sigma_ci95_low","gbm_sigma_ci95_high","dividend_yield","carry_r_minus_q","lattice_u","lattice_d","lattice_p_real","lattice_p_rn","lattice_implied_sigma","sim_alpha_annual","sim_beta","sim_alpha_se","sim_beta_se","sim_alpha_ci95_low","sim_alpha_ci95_high","sim_beta_ci95_low","sim_beta_ci95_high","sim_r_squared","sim_resid_std","model_fit_notes","tags","snapshot_date"
"META","Meta","2026-02-03","2025-03-11",226,691.7,0.00058739,0.02512298,0.398815,0.26111,0.483956,0.6039,11.0336,0.25424,0.158792,18341795,226,0,-11.9736,0.026549,0.148023,0.398815,0.421131,0.018759,-0.681843,0.977889,0.36185,0.43578,0.003,0.04,1.01747578,0.98462239,0.49557522,0.47326188,0.398815,-0.19424108,1.425123,0.00121727,0.100099,-0.79873077,0.41024862,1.227866,1.62238,0.475034,0.01824332,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=47.50%","high_beta;non_normal;heavy_tails","2026-02-03"
"MSFT","Microsoft","2026-02-03","2025-03-11",226,411.21,0.00034402,0.01639182,0.260212,0.181402,0.446917,-0.0174,15.8571,0.241408,0.090151,36844235,226,0,-13.4301,0.013274,0.086694,0.260212,0.274773,0.012239,-0.454763,0.628151,0.236094,0.284331,0.007,0.036,1.01009358,0.989198,0.53982301,0.52511822,0.260212,-0.11626373,0.845076,0.00085447,0.070265,-0.54058786,0.3080604,0.706611,0.983542,0.392374,0.01280598,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=39.24%","non_normal;heavy_tails","2026-02-03"
"NVDA","NVIDIA","2026-02-03","2025-03-11",226,180.34,0.00223761,0.02615265,0.41516,0.265428,0.294312,0.8107,10.4395,0.224871,0.753159,166513605,226,0,-8.5251,0.013274,0.563878,0.41516,0.438391,0.019528,-0.3,1.427756,0.37668,0.453641,3e-04,0.0427,1.01995597,0.98291758,0.53097345,0.46581595,0.41516,0.1668459,1.653166,0.00112001,0.092101,-0.3893436,0.7230354,1.471671,1.834662,0.589881,0.01678563,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=58.99%","high_beta;non_normal;high_vol;heavy_tails","2026-02-03"
"TSLA","Tesla","2026-02-03","2025-03-11",226,421.96,0.00267395,0.03747583,0.59491,0.389002,0.375442,0.3391,7.2353,0.230027,0.955991,61858270,226,2e-06,-5.682,0.013274,0.673835,0.59491,0.628199,0.027982,-0.564072,1.911742,0.53977,0.650051,0,0.043,1.02936996,0.97447971,0.52654867,0.46804192,0.59491,0.17967864,2.057573,0.001867,0.153528,-0.74746206,1.10681934,1.755029,2.360118,0.445011,0.02798083,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=44.50%","high_beta;non_normal;high_vol;heavy_tails;no_dividend","2026-02-03"
"AAPL","Apple","2026-02-04","2025-03-11",227,276.49,0.00099003,0.02012957,0.319547,0.209845,0.251081,0.8558,16.0382,0.22989,0.282411,56651685,227,0,-13.8187,0.013216,0.249487,0.319547,0.336684,0.014997,-0.413954,0.912928,0.289995,0.349099,0.004,0.039,1.01262902,0.98790695,0.53744493,0.49606282,0.319547,-0.04874058,1.276023,0.00085866,0.070741,-0.47513367,0.37765252,1.136624,1.415422,0.591185,0.01289914,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=59.12%","non_normal;heavy_tails","2026-02-04"
"AMZN","Amazon","2026-02-04","2025-03-11",227,232.99,0.00074835,0.02200263,0.349281,0.235737,0.258719,0.3191,8.7674,0.186622,0.206859,41489175,227,0,-9.2281,0.022026,0.188584,0.349281,0.368012,0.016393,-0.53659,0.913758,0.316979,0.381583,0,0.043,1.01494456,0.98448704,0.54185022,0.5149339,0.349281,-0.12649392,1.348121,0.00098216,0.080916,-0.61421854,0.3612307,1.188671,1.507571,0.552312,0.01475452,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=55.23%","high_beta;non_normal;heavy_tails;no_dividend","2026-02-04"
"GOOGL","Google","2026-02-04","2025-03-11",227,333.04,0.00311961,0.01942215,0.308317,0.184394,0.207931,0.4353,6.6496,0.151618,1.189769,33365025,227,1e-06,-5.9056,0.013216,0.786143,0.308317,0.324852,0.01447,0.146018,1.426268,0.279804,0.33683,0.004,0.039,1.01572044,0.98727203,0.56387665,0.4534039,0.308317,0.55124608,1.00505,0.00100871,0.083103,0.05033705,1.05215511,0.84129,1.16881,0.393964,0.01515338,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=39.40%","non_normal;heavy_tails","2026-02-04"
"META","Meta","2026-02-04","2025-03-11",227,668.99,0.00043774,0.02516853,0.399538,0.262898,0.500363,0.6049,10.9345,0.25424,0.116258,18632215,227,0,-11.8636,0.026432,0.110311,0.399538,0.420965,0.018751,-0.719206,0.939829,0.362588,0.436488,0.003,0.04,1.01747578,0.98447061,0.49339207,0.47568416,0.399538,-0.22380757,1.429592,0.00121702,0.100265,-0.82815965,0.38054451,1.232013,1.62717,0.474661,0.01828271,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=47.47%","high_beta;non_normal;heavy_tails","2026-02-04"
"MSFT","Microsoft","2026-02-04","2025-03-11",227,414.19,0.00037432,0.01636188,0.259737,0.181002,0.444598,-0.0226,15.9034,0.241408,0.098611,37942970,227,0,-13.4792,0.013216,0.094328,0.259737,0.273666,0.01219,-0.444935,0.633591,0.235716,0.283758,0.007,0.036,1.01007043,0.989198,0.54185022,0.52570047,0.259737,-0.10270107,0.843026,0.00085216,0.070205,-0.52586635,0.3204642,0.704683,0.98137,0.390563,0.01280149,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=39.06%","non_normal;heavy_tails","2026-02-04"
"NVDA","NVIDIA","2026-02-04","2025-03-11",227,174.19,0.0020749,0.02620962,0.416065,0.267354,0.316255,0.8081,10.3407,0.224871,0.68424,168021180,227,0,-8.4455,0.008811,0.522876,0.416065,0.438378,0.019527,-0.340955,1.386706,0.377587,0.454543,3e-04,0.0427,1.01995597,0.98275851,0.52863436,0.46810023,0.416065,0.13539259,1.65792,0.00112143,0.092389,-0.42148712,0.69227231,1.475862,1.839978,0.588683,0.01684659,"Shapiro-Wilk rejects normality; heavy tails (consider t-innovations/GARCH); R2_vs_SPY=58.87%","high_beta;non_normal;high_vol;heavy_tails","2026-02-04"
